,Borough,Neighborhood,ID,Name,Category,Venue_lat,Venue_lng
125,Brooklyn,Ditmas Park,593b1eabfc9e940adf8a5da1,Mondayoff By Plant Love House,Thai Restaurant,40.63915760197772,-73.96881082984439
126,Staten Island,Westerleigh,4b7c698af964a520bc912fe3,Forest Thai Cuisine,Thai Restaurant,40.626522775388366,-74.13037822911718
127,Staten Island,Graniteville,51734440e4b093690645e66b,Empire East Richmond Ave,Thai Restaurant,40.61197242132444,-74.15746278082396
128,Staten Island,Bulls Head,51734440e4b093690645e66b,Empire East Richmond Ave,Thai Restaurant,40.61197242132444,-74.15746278082396
129,Manhattan,Noho,57c169e3498e784947e307aa,Fish Cheeks,Thai Restaurant,40.72586100363351,-73.99253343981425
130,Queens,Jamaica Hills,51cd0030498e1874e3954776,Amina Thai,Thai Restaurant,40.71089655510882,-73.79233007734564
131,Manhattan,Sutton Place,4afca7e0f964a520d02422e3,OBAO Midtown,Thai Restaurant,40.75727513834895,-73.96854069266344
132,Queens,Hunters Point,49cfd074f964a520ce5a1fe3,Tuk Tuk,Thai Restaurant,40.74314207648646,-73.95402068036339
133,Manhattan,Turtle Bay,4afca7e0f964a520d02422e3,OBAO Midtown,Thai Restaurant,40.75727513834895,-73.96854069266344
134,Manhattan,Tudor City,5424bb1b498ecea0c85b6b43,Lan Larb Midtown,Thai Restaurant,40.74533363204334,-73.9755277555111
135,Manhattan,Flatiron,57e83df3498eebbe238cb36f,Thai Villa,Thai Restaurant,40.739118324714035,-73.99057903842908
136,Queens,Sunnyside Gardens,4bf5e3f05e800f472e80e6d4,I Am Thai Restaurant,Thai Restaurant,40.7445497963552,-73.91519565611054
137,Queens,Sunnyside Gardens,57346238498e19234e93e838,Thai Diva Cuisine,Thai Restaurant,40.74145191465704,-73.91904537430251
138,Queens,Hammels,527ef74d11d257effa558059,Thai Kitchen By The Sea,Thai Restaurant,40.59082253627518,-73.79670566426822
139,Queens,Queensbridge,5574d051498ed29e025087a4,House of Thai,Thai Restaurant,40.75349378559224,-73.93787824622585
